,smiles,fragments,n_fragments,C,F,N,O,Other,SINGLE,DOUBLE,TRIPLE,Tri,Quad,Pent,Hex,logP,mr,qed,SAS,tpsa,score
0,CCC(C)C(=O)C(C)N1CCN(S(=O)(=O)c2ccc3c(c2)CCC3)CC1,*CCCC *C(=O)C(C)N1CCN(S(=O)(=O)c2ccc3c(c2)CCC3)CC1,2,20,0,2,3,1,22,6,0,0,0,1,2,2.4853000000000005,102.72280000000008,0.7630883346111943,3.1091243036908853,57.690000000000005,-6.2
1,CCC(C)c1csc(NC(=O)c2cccc(Cl)c2)n1,*CCCC *c1csc(NC(=O)c2cccc(Cl)c2)n1,2,14,0,2,1,2,14,6,0,0,0,1,1,4.562300000000003,80.22520000000004,0.8977481904884388,2.5192440318604223,41.99,-5.7
2,CCC(C)N(CC[NH+](C)C)C1CCCC1,*CCCC *N(CC[NH+](C)C)C1CCCC1,2,13,0,2,0,0,15,0,0,0,0,1,0,1.1740000000000002,66.39270000000006,0.6959413058481051,4.06898740923547,7.680000000000001,-4.6
3,CCC(C)Sc1nc(Cl)ncc1C,*CCCC *Sc1nc(Cl)ncc1C,2,9,0,2,0,2,10,3,0,0,0,0,1,3.3290200000000016,57.389000000000024,0.4404952966989879,3.266269853895217,25.78,-4.5
4,CCC(C)NC(=O)c1ccc(CNC(=O)N2CCOC(C)C2)cc1,*CCCC *NC(=O)c1ccc(CNC(=O)N2CCOC(C)C2)cc1,2,18,0,3,3,0,20,5,0,0,0,0,2,2.1452,92.88390000000005,0.8672011035229613,2.7485492600082875,70.67,-7.0
5,CCC(C)C(CCSC)C(=O)Nc1cccc(Br)c1,*CCCC *C(CCSC)C(=O)Nc1cccc(Br)c1,2,15,0,1,1,2,15,4,0,0,0,0,1,4.803000000000004,88.71570000000004,0.7695333862434361,3.0258357695860614,29.1,-5.2
6,CCC(C)OCC(=O)Nc1ccc(C)c(S(C)(=O)=O)c1,*CCCC *OCC(=O)Nc1ccc(C)c(S(C)(=O)=O)c1,2,14,0,1,4,1,14,6,0,0,0,0,1,2.15212,78.62350000000005,0.8733116100117677,2.572488242217908,72.47,-5.2
7,CC[NH2+]C1Cc2cc(C(=O)C(C)Sc3nc4ccccc4o3)ccc2N1,*N1CCc2cc(C(=O)C(C)Sc3nc4ccccc4o3)ccc21 *[NH2+]CC,2,20,0,3,2,1,21,8,0,0,0,2,2,3.0687000000000006,103.68160000000003,0.5167765442498002,3.9474078421524244,71.74,-7.0
8,CCC(C)c1nc(N2CCOCC2)nc(N2CCOCC2)n1,*CCCC *c1nc(N2CCOCC2)nc(N2CCOCC2)n1,2,15,0,5,2,0,21,3,0,0,0,0,3,1.0583000000000002,84.59700000000005,0.8237912628437813,2.9465660915676537,63.61,-6.2
9,CC[NH2+]C1Cc2nc(SCc3ccc(F)cc3Cl)nc([O-])c2C[NH+]1,*[NH+]1CCc2nc(SCc3ccc(F)cc3Cl)nc([O-])c2C1 *[NH2+]CC,2,16,1,4,1,2,20,6,0,0,0,0,3,-0.050299999999999734,87.07410000000003,0.5725001077404313,4.714558725588109,81.05000000000001,-6.4
