,smiles,fragments,n_fragments,C,F,N,O,Other,SINGLE,DOUBLE,TRIPLE,Tri,Quad,Pent,Hex,logP,mr,qed,SAS,tpsa,score
0,COCC(C)CC(C)N(C)Cc1cnc2ccc(C#N)cn12,*CCCOC *CC(C)N(C)Cc1cnc2ccc(C#N)cn12,2,17,0,4,1,0,18,4,1,0,0,1,1,2.698880000000001,86.49300000000005,0.7886771077896225,3.6715235308086855,53.56,0.0
1,COc1ccc(Br)cc1C1C(C#N)=C(N)Oc2cc(C(C)N)ccc21,*NCC *c1ccc2c(c1)OC(N)=C(C#N)C2c1cc(Br)ccc1OC,2,19,0,3,2,1,19,7,1,0,0,0,3,3.6955800000000005,99.03580000000001,0.819618015537111,3.193417789534301,94.28999999999999,0.0
2,CC(N)NC(=O)C1Cc2cc(Cl)cc(Cl)c2OC1=O,*NCC *NC(=O)C1Cc2cc(Cl)cc(Cl)c2OC1=O,2,12,0,2,3,2,15,5,0,0,0,0,2,1.4919999999999998,71.08310000000003,0.37527472334971723,3.608720002095633,81.41999999999999,-6.0
3,CC(N)CC(N)c1ncc(Cl)cc1Cl,*NCC *CC(N)c1ncc(Cl)cc1Cl,2,9,0,3,0,2,11,3,0,0,0,0,1,2.1254999999999997,59.45180000000002,0.841343265776365,3.521087562081525,64.93,-5.0
4,CCC(C)CCNNC(=O)c1c(F)cc(OC(F)F)cc1F,*CCCC *CCN* *NC(=O)c1c(F)cc(OC(F)F)cc1F,3,14,4,2,2,0,18,4,0,0,0,0,1,3.2368000000000015,72.53090000000003,0.43879980677230856,3.1385096093316687,50.36,-6.2
5,Cc1ccc(C(C)N)cc1NC(=O)N1CCC2CCCCC21,*NCC *c1ccc(C)c(NC(=O)N2CCC3CCCCC32)c1,2,18,0,3,1,0,20,4,0,0,0,1,2,3.8111200000000025,89.86910000000005,0.8723308564876283,3.130861757089991,58.36,-6.4
6,COCC(C)C1CN(C(=O)c2ccc(=O)[nH]c2)CC1[NH+](C)C,*CCCOC *C1CN(C(=O)c2ccc(=O)[nH]c2)CC1[NH+](C)C,2,16,0,3,3,0,19,4,0,0,0,1,1,-0.757499999999997,84.09490000000004,0.751551983602586,4.457303345179319,66.84,-6.1
7,CCC(C)CCNC(CC(C)C)c1ccccc1OC,*CCCC *CCN* *C(CC(C)C)c1ccccc1OC,3,18,0,1,1,0,17,3,0,0,0,0,1,4.808200000000005,87.26470000000008,0.6992269819696593,2.839981029199082,21.259999999999998,-5.1
8,COCC(C)CN(Cc1ccccc1)CC(F)(F)F,*CCCOC *CN(Cc1ccccc1)CC(F)(F)F,2,14,3,1,1,0,16,3,0,0,0,0,1,3.333400000000002,68.81400000000004,0.7565063823402447,2.714117694917247,12.47,-5.5
9,CC(N)c1nc2c(c(=O)n1-c1ccc(Br)cc1)SCC2,*NCC *c1nc2c(c(=O)n1-c1ccc(Br)cc1)SCC2,2,14,0,3,1,2,16,6,0,0,0,1,2,2.6629000000000014,84.56440000000002,0.9028245957887909,3.092851009167939,60.91,-5.8
10,CCC(C)CCNC(=O)c1c(-n2cccc2)sc2c1CCCC2=O,*CCCC *CCN* *C(=O)c1c(-n2cccc2)sc2c1CCCC2=O,3,19,0,2,2,1,20,6,0,0,0,2,1,4.223800000000003,97.31970000000007,0.8526403568728238,3.1889813500225,51.1,-5.8
11,CCC(C)CCNN1CCN2CCNC(=O)C2C1,*CCCC *CCN* *N1CCN2CCNC(=O)C2C1,3,13,0,4,1,0,18,1,0,0,0,0,2,0.04320000000000196,72.01840000000004,0.7273391093860149,3.7099000592236653,47.61,-5.7
12,Cc1nc(C(C)N)cc(N2CCN(C(=O)c3cc4ccccc4oc3=O)CC2)n1,*NCC *c1cc(N2CCN(C(=O)c3cc4ccccc4oc3=O)CC2)nc(C)n1,2,21,0,5,3,0,23,9,0,0,0,0,4,1.8735199999999999,109.97190000000006,0.6772924318035299,2.915950919269852,105.55999999999999,-7.6
13,C[NH2+]C(CNCCC(C)N)C1CCCC(C)C1,*NCC *CCN* *CC([NH2+]C)C1CCCC(C)C1,3,14,0,3,0,0,17,0,0,0,0,0,1,0.7014000000000016,73.89550000000004,0.5757692659147555,4.588218175405649,54.66,-5.2
14,CC1CCCC[NH+]1CCC1CCCC1(CO)C(C)N,*NCC *C1(CO)CCCC1CC[NH+]1CCCCC1C,2,16,0,2,1,0,20,0,0,0,0,1,1,0.9598000000000013,79.13590000000005,0.696181714094849,5.636382314883002,50.69,-5.3
15,CC(N)=C1SCC(NC(=O)c2ccccc2)C1=NO,*NCC *=C1SCC(NC(=O)c2ccccc2)C1=NO,2,13,0,3,2,1,14,6,0,0,0,1,1,1.5522000000000002,76.26310000000002,0.5651409378754466,3.364940983964922,87.71,-5.7
16,COCC(C)c1ccc([N+](=O)[O-])cc1C(=O)NOC1CCCCO1,*CCCOC *c1ccc([N+](=O)[O-])cc1C(=O)NOC1CCCCO1,2,16,0,2,6,0,20,5,0,0,0,0,2,2.532700000000001,85.52960000000004,0.6055726146930164,3.422350637735038,99.93,-6.2
17,Cc1nc(N(C)C)sc1C[NH+](C)C(C)N,*NCC *[NH+](C)Cc1sc(N(C)C)nc1C,2,10,0,4,0,1,13,2,0,0,0,1,0,-0.16307999999999845,65.41810000000004,0.7052369257850273,4.646182666758952,46.59,-5.1
18,CC(N)NC(=O)CSC1CC(=O)N(c2ccccc2)C1=O,*NCC *NC(=O)CSC1CC(=O)N(c2ccccc2)C1=O,2,14,0,3,3,1,16,6,0,0,0,1,1,0.4725999999999997,81.59010000000004,0.60928918034758,3.121414694606342,92.5,-6.9
19,CC(N)c1cc(C(=O)Nc2ccc(CC#N)cc2)cc([N+](=O)[O-])c1,*NCC *c1cc(C(=O)Nc2ccc(CC#N)cc2)cc([N+](=O)[O-])c1,2,17,0,4,3,0,16,8,1,0,0,0,2,2.9328800000000017,89.41100000000003,0.6464182145883743,2.667405804979307,122.05000000000001,0.0
20,CCC(C)C(C)[NH+](C)CC(=O)N(C)Cc1ccccc1,*CCCC *C(C)[NH+](C)CC(=O)N(C)Cc1ccccc1,2,17,0,2,1,0,16,4,0,0,0,0,1,1.5943,83.58670000000006,0.8042474959354292,3.895283475691693,24.75,-5.1
21,CC(C)c1ccccc1-n1c(C(C)N)nn(CN(C)C2CCS(=O)(=O)C2)c1=S,*NCC *c1nn(CN(C)C2CCS(=O)(=O)C2)c(=S)n1-c1ccccc1C(C)C,2,19,0,5,2,2,23,7,0,0,0,2,1,2.622790000000001,113.90120000000005,0.7190259240966629,3.7070645046388755,86.15,-6.7
22,CCC(C)CCNc1nc(CS(=O)Cc2ccon2)c(C)o1,*CCCC *CCN* *c1nc(CS(=O)Cc2ccon2)c(C)o1,3,15,0,3,3,1,18,5,0,0,0,2,0,3.2680200000000017,85.85510000000004,0.7618255023678071,4.079070900942518,81.16000000000001,-6.2
23,CC(N)CCC(C)(C#N)NC(=O)c1ccc(F)nc1,*NCC *CCC(C)(C#N)NC(=O)c1ccc(F)nc1,2,13,1,4,1,0,14,4,1,0,0,0,1,1.36018,68.56260000000002,0.78533498584349,3.5385634410096607,91.8,0.0
24,CCC(C)CCNC1(NC(=O)c2ccc(SC)nc2)CCCC1,*CCCC *CCN* *C1(NC(=O)c2ccc(SC)nc2)CCCC1,3,18,0,3,1,1,20,4,0,0,0,1,1,3.8294000000000024,96.75790000000006,0.559869246838547,3.5216018971476304,54.019999999999996,-5.9
25,CCC(C)c1c(C)[nH]c(C(=O)C(C)Oc2ccc(F)c(F)c2)c1C,*CCCC *c1c(C)[nH]c(C(=O)C(C)Oc2ccc(F)c(F)c2)c1C,2,19,2,1,2,0,19,6,0,0,0,1,1,5.073440000000004,89.75120000000004,0.7486241745217029,3.188157185524936,42.09,-6.7
26,Cc1ccccc1CNC(=O)N1CC(C(=O)NC(C)N)CCC1C,*NCC *NC(=O)C1CCC(C)N(C(=O)NCc2ccccc2C)C1,2,18,0,4,2,0,20,5,0,0,0,0,2,1.7260200000000003,94.09880000000004,0.733825992342826,3.2475508339406236,87.46000000000001,-7.0
27,CCC(C)CCNN(C)c1ccc2c(c1)CCN2,*CCCC *CCN* *N(C)c1ccc2c(c1)CCN2,3,15,0,3,0,0,16,3,0,0,0,1,1,3.031600000000001,79.11340000000004,0.7566600401543588,3.329710352114893,27.299999999999997,-5.5
28,CC(N)[NH+](Cc1cccc(Br)c1)C1CCOCC1,*NCC *[NH+](Cc1cccc(Br)c1)C1CCOCC1,2,14,0,2,1,1,16,3,0,0,0,0,2,1.3177,76.29910000000004,0.8230163697092189,4.25129281940466,39.69,-6.0
29,COCC(C)c1nc2cc(NC(=O)c3cccs3)ccc2n1C,*CCCOC *c1nc2cc(NC(=O)c3cccs3)ccc2n1C,2,17,0,3,2,1,18,7,0,0,0,2,1,3.6370000000000022,93.27720000000005,0.7773698631483146,2.8161105362008847,56.15,-5.9
30,CC(N)NC(=O)c1cccc(NC(=O)CBr)c1,*NCC *NC(=O)c1cccc(NC(=O)CBr)c1,2,11,0,3,2,1,12,5,0,0,0,0,1,1.0545,69.98130000000002,0.5739202776566351,2.5843251711545623,84.22,-5.8
31,CCC(C)CCNCCC(=O)Nc1nc(C)cs1,*CCCC *CCN* *CCC(=O)Nc1nc(C)cs1,3,13,0,3,1,1,15,3,0,0,0,1,0,2.8059200000000004,77.03940000000004,0.7135294592814864,2.6982868046035815,54.02,-5.4
32,CC(N)C1CN(Cc2c(Cl)nc3ccccn23)CCO1,*NCC *C1CN(Cc2c(Cl)nc3ccccn23)CCO1,2,14,0,4,1,1,18,4,0,0,0,1,2,1.5356999999999998,78.86840000000005,0.9327756867771635,3.477564658201657,55.790000000000006,-6.3
33,CC(N)CCNC(=O)CNc1cccc(Cl)c1,*NCC *CCN* *C(=O)CNc1cccc(Cl)c1,3,12,0,3,1,1,13,4,0,0,0,0,1,1.6054000000000002,71.21780000000003,0.7234897557550352,2.39596899809543,67.14999999999999,-5.7
34,CC(N)c1ccc(COc2ccc(C3CC(c4ccccc4)=Nc4ncnn43)cc2)cc1,*NCC *c1ccc(COc2ccc(C3CC(c4ccccc4)=Nc4ncnn43)cc2)cc1,2,26,0,5,1,0,24,12,0,0,0,1,4,4.990700000000004,125.23540000000001,0.47381430056750345,3.1124576204529495,78.32,-7.3
35,CC(N)C(=O)C[NH+]1CCCC1C(=O)N(C)C,*NCC *C(=O)C[NH+]1CCCC1C(=O)N(C)C,2,11,0,3,2,0,14,2,0,0,0,1,0,-1.961799999999995,61.069100000000034,0.5868694959342665,5.184077694110126,67.83999999999999,-5.2
36,CCC(C)C(=O)Nc1cccc(C(=O)NC(CC(N)=O)C2CCCCC2)c1,*CCCC *C(=O)Nc1cccc(C(=O)NC(CC(N)=O)C2CCCCC2)c1,2,21,0,3,3,0,22,6,0,0,0,0,2,3.2253000000000007,106.16730000000005,0.6518459654668082,2.9387806222190935,101.28999999999999,-7.0
37,CC(N)C(C)[NH+](C)CCC(=O)N1CCN(c2cccc[nH+]2)CC1,*NCC *C(C)[NH+](C)CCC(=O)N1CCN(c2cccc[nH+]2)CC1,2,17,0,5,1,0,20,4,0,0,0,0,2,-1.2101999999999953,91.27280000000006,0.6908347111330377,5.079222837889474,68.15,-6.1
38,CC(N)OCCCN(C)c1ccccc1,*NCC *OCCCN(C)c1ccccc1,2,12,0,2,1,0,12,3,0,0,0,0,1,1.8342,63.93040000000004,0.5723655327153295,2.644776849063934,38.49,-5.2
39,CCC(C(=O)C(C)N)n1cnc2sc(C(=O)OC)c(C)c2c1=O,*NCC *C(=O)C(CC)n1cnc2sc(C(=O)OC)c(C)c2c1=O,2,15,0,3,4,1,18,6,0,0,0,1,1,1.4204200000000002,87.94090000000004,0.8275062163649267,3.4692156086386383,104.28,-5.5
40,CC(N)CCNC(=O)COc1cc2oc(=O)c3c(c2cc1Cl)CCC3,*NCC *CCNC(=O)COc1cc2oc(=O)c3c(c2cc1Cl)CCC3,2,18,0,2,4,1,21,6,0,0,0,1,2,2.1673999999999998,96.29010000000002,0.7658506425000107,2.9195257356674293,94.56,-7.5
41,COCC(C)C(=O)N1CCC(C)(C(=O)NCc2ccc3c(c2)OCO3)CC1,*CCCOC *C(=O)N1CCC(C)(C(=O)NCc2ccc3c(c2)OCO3)CC1,2,20,0,2,5,0,24,5,0,0,0,1,2,1.9426999999999996,99.37270000000007,0.8210953540075729,3.0277658748626433,77.10000000000001,-6.3
