,smiles,fragments,n_fragments,C,F,N,O,Other,SINGLE,DOUBLE,TRIPLE,Tri,Quad,Pent,Hex,logP,mr,qed,SAS,tpsa,score,rank
0,Cn1c(=O)c2c(ncn2CC(=O)Nc2cccc3ccccc23)n(C)c1=O,*n1cnc2c1c(=O)n(C)c(=O)n2C *CC(=O)Nc1cccc2ccccc12,2,19,0,5,3,0,20,10,0,0,0,1,3,1.2256,102.79270000000004,0.599715197635,2.168047621757049,90.92,-7.3,0
93,Cc1ccc(S(=O)(=O)N(C)CC(=O)Nc2ccccc2)cc1,*S(=O)(=O)c1ccc(C)cc1 *N(C)CC(=O)Nc1ccccc1,2,16,0,2,3,1,14,9,0,0,0,0,2,2.25422,86.06650000000003,0.921360941009,1.6450186913607787,66.48,-6.9,0
92,NC(=O)Cn1nc(-n2cncn2)ccc1=O,*CC(N)=O *n1nc(-n2cncn2)ccc1=O,2,8,0,6,2,0,11,6,0,0,0,1,1,-1.6907,52.6084,0.703828932529,2.5637330907329474,108.69,-6.3,0
91,O=C(c1cc(=O)[nH]c2ccccc12)N1CCC(C(=O)N2CCc3ccccc3C2)CC1,*C(=O)N1CCC(C(=O)N2CCc3ccccc3C2)CC1 *c1cc(=O)[nH]c2ccccc12,2,25,0,3,3,0,25,10,0,0,0,0,5,2.9652,118.75920000000002,0.6926908386730001,2.23728062667932,73.48,-8.9,0
90,O=C(Cn1cc(Cl)c(=O)[nH]c1=O)c1ccc2c(c1)CCCC2,*CC(=O)c1ccc2c(c1)CCCC2 *n1cc(Cl)c(=O)[nH]c1=O,2,16,0,2,3,1,17,7,0,0,0,0,3,1.9517,83.74720000000002,0.8841462279410001,2.336219386963432,71.93,-8.3,0
89,NC(=O)c1noc(Cn2ccnc2-c2cccc3c2oc2ccccc23)n1,*C(N)=O *c1noc(Cn2ccnc2-c2cccc3c2oc2ccccc23)n1,2,19,0,5,3,0,20,11,0,0,0,3,2,2.9797,96.8589,0.5224185365690001,2.6688694866676226,112.97,-9.4,0
88,COC(=O)c1ccc2c(c1)=[NH+]C(c1cn(CCC(=O)[O-])c3ccccc13)[NH+]=2,*C(=O)OC *Cn1cc(C2[NH+]=c3ccc(*)cc3=[NH+]2)c2ccccc21 *CC(=O)[O-],3,20,0,3,4,0,20,10,0,0,0,2,2,-3.3193,91.46590000000002,0.475059685676,4.343786675115021,99.3,-7.5,0
87,O=C(COc1cccc2ccccc12)NNC(=O)c1ccc(F)cc1,*CC(=O)NNC(=O)c1ccc(F)cc1 *Oc1cccc2ccccc12,2,19,1,2,3,0,17,10,0,0,0,0,3,2.8189,91.45190000000004,0.714230874618,1.7517993130997205,67.43,-7.5,0
86,CNS(=O)(=O)c1ccc(CCC(=O)Nc2cccn(C)c2=O)cc1,*c1ccc(S(=O)(=O)NC)cc1 *CCC(=O)Nc1cccn(C)c1=O,2,16,0,3,4,1,16,9,0,0,0,0,2,0.8647,91.32120000000002,0.820895110518,2.070318118675333,97.26999999999998,-7.2,0
85,O=C(NCC(=O)N1CCOCC1)c1ccccc1,*C(=O)c1ccccc1 *NCC(=O)N1CCOCC1,2,13,0,2,3,0,14,5,0,0,0,0,2,0.2752,66.17420000000003,0.8550937348630001,1.6559245975895465,58.64,-6.2,0
