,smiles,fragments,n_fragments,C,F,N,O,Other,SINGLE,DOUBLE,TRIPLE,Tri,Quad,Pent,Hex,logP,mr,qed,SAS,tpsa,score,rank
0,Cn1c(=O)c2c(ncn2CC(=O)Nc2cccc3ccccc23)n(C)c1=O,*n1cnc2c1c(=O)n(C)c(=O)n2C *CC(=O)Nc1cccc2ccccc12,2,19,0,5,3,0,20,10,0,0,0,1,3,1.2256,102.79270000000004,0.599715197635,2.168047621757049,90.92,-7.3,0
102,CC(N)SC1=Nc2ccccc2C2=NC(CC3=c4ccccc4=[NH+]C3)C(=O)N12,*NCC *SC1=Nc2ccccc2C2=NC(CC3=c4ccccc4=[NH+]C3)C(=O)N12,2,21,0,5,1,1,22,10,0,0,0,2,3,-0.36219999999999963,110.59810000000002,0.7021242761256221,4.566842102479631,85.02,-9.2,0
103,Cc1ccc2c(c1)C1(NC(CC3=c4ccccc4=[NH+]C3)C3C(=O)N(C(C)N)C(=O)C31)C(=O)N2,*NCC *N1C(=O)C2C(CC3=c4ccccc4=[NH+]C3)NC3(C(=O)Nc4ccc(C)cc43)C2C1=O,2,25,0,5,3,0,28,10,0,0,0,4,2,-2.0250799999999947,119.54250000000005,0.40767591322936697,5.376931207419396,118.5,-8.7,0
104,CC(N)N1CCN(C(=O)c2ccc(=O)n(CCC(=O)[O-])n2)CC1,*NCC *N1CCN(C(=O)c2ccc(=O)n(CCC(=O)[O-])n2)CC1,2,14,0,5,4,0,19,5,0,0,0,0,2,-2.5541999999999963,79.24690000000002,0.6322354705190233,3.298256030706379,124.58999999999999,-7.2,0
105,CC(N)OCC(=O)NN=C1C(=O)NC(=O)NC1=O,*NCC *OCC(=O)NN=C1C(=O)NC(=O)NC1=O,2,8,0,5,5,0,13,5,0,0,0,0,1,-2.854099999999998,56.86050000000001,0.31387260782466025,3.4655838815266584,151.98,-5.9,0
106,CC(N)C(=O)NCCC(N)=O,*NCC *C(=O)NCCC(N)=O,2,6,0,3,2,0,8,2,0,0,0,0,0,-1.6747999999999994,40.470499999999994,0.4568462951012946,2.4643418687550493,98.21000000000001,-4.7,0
107,CC(N)N1CCn2c1nn(CC(N)=O)c(=O)c2=O,*NCC *N1CCn2c1nn(CC(N)=O)c(=O)c2=O,2,9,0,6,3,0,15,4,0,0,0,1,1,-2.9849999999999994,62.9468,0.5533912777454661,3.499258881526658,129.23999999999998,-6.8,0
108,CC(N)C(=O)NC(C(N)=O)C(N)=O,*NCC *C(=O)NC(C(N)=O)C(N)=O,2,6,0,4,3,0,9,3,0,0,0,0,0,-3.2109999999999994,43.9689,0.34426695729860834,2.9530442632358778,141.3,-5.4,0
101,CC(N)C(=O)NCC(=O)Nc1cccc2cccnc12,*NCC *C(=O)NCC(=O)Nc1cccc2cccnc12,2,14,0,4,2,0,14,7,0,0,0,0,2,0.6366999999999994,77.03180000000002,0.760371275805597,2.383433426750356,97.11,-7.6,0
109,CCC(C)CCNC1NC(C[NH+](C)CC2[NH+]=c3ccc(F)cc3=[NH+]2)C(C)O1,*CCCC *CCN* *C1NC(C[NH+](C)CC2[NH+]=c3ccc(F)cc3=[NH+]2)C(C)O1,3,20,1,5,1,0,25,4,0,0,0,2,1,-4.2332,99.52350000000006,0.3017307207374312,6.392326082019705,65.67,-7.4,0
111,CC(N)C(=O)N1CCN(C(=O)CN2CCOCC2)CC1,*NCC *C(=O)N1CCN(C(=O)CN2CCOCC2)CC1,2,13,0,4,3,0,19,2,0,0,0,0,2,-1.6633999999999955,74.06840000000004,0.6707027446323991,2.5129592509261798,79.11000000000001,-5.1,0
112,Cc1ccc2c(c1)=[NH+]C(N1CCC(C(=O)NCC(C)N)CC1)[NH+]=2,*NCC *CNC(=O)C1CCN(C2[NH+]=c3ccc(C)cc3=[NH+]2)CC1,2,17,0,5,1,0,20,5,0,0,0,1,2,-4.131979999999996,85.30450000000005,0.45497723451686256,4.525097249922952,86.3,-7.0,0
113,CC(N)NC(=O)CN1CCN(Cc2n[nH]c(=O)[nH]2)CC1,*NCC *NC(=O)CN1CCN(Cc2n[nH]c(=O)[nH]2)CC1,2,11,0,7,2,0,18,3,0,0,0,1,1,-2.3634999999999966,72.71750000000002,0.4481542913790404,3.2416427674096973,123.13999999999999,-6.0,0
114,CC(N)NC(=O)CSC1[NH+]=c2cc[nH+]cc2=[NH+]1,*NCC *NC(=O)CSC1[NH+]=c2cc[nH+]cc2=[NH+]1,2,10,0,5,1,1,13,5,0,0,0,1,1,-5.647599999999998,60.417200000000015,0.40326462718903827,6.349396972990858,97.2,-5.5,0
115,CC(N)Cc1ccc(CNC(=O)NC(CO)CO)cc1,*NCC *Cc1ccc(CNC(=O)NC(CO)CO)cc1,2,14,0,3,3,0,16,4,0,0,0,0,1,-0.27129999999999843,77.12640000000002,0.47389333250736665,2.5596487963807277,107.61,-6.9,0
116,CC(N)NC(=O)CN1C(=O)NC(C)(c2ccc3c(c2)OCCCO3)C1=O,*NCC *NC(=O)CN1C(=O)NC(C)(c2ccc3c(c2)OCCCO3)C1=O,2,17,0,4,5,0,22,6,0,0,0,1,1,0.0358000000000005,91.43780000000004,0.5131548495012889,3.292112765229347,122.99000000000001,-7.6,0
117,CC(N)C1NC(Cc2c[nH+]c[nH]2)(C(=O)[O-])C2C(=O)N(Cc3ccccc3)C(=O)C12,*NCC *C1NC(Cc2c[nH+]c[nH]2)(C(=O)[O-])C2C(=O)N(Cc3ccccc3)C(=O)C12,2,20,0,5,4,0,24,8,0,0,0,3,1,-2.0195999999999934,98.34250000000004,0.4798708274184704,5.071257251112253,145.48999999999998,-7.8,0
110,CC(N)NC(=O)CN1CCN(S(C)(=O)=O)CC1,*NCC *NC(=O)CN1CCN(S(C)(=O)=O)CC1,2,9,0,4,3,1,14,3,0,0,0,0,1,-2.0154999999999967,64.64890000000003,0.5717582372777917,2.7390188835291447,95.74000000000001,-5.3,0
118,Cc1nc2nc(N)nn2c(C)c1CC(=O)N1CCN(CC(=O)NC(C)N)CC1,*NCC *NC(=O)CN1CCN(C(=O)Cc2c(C)nc3nc(N)nn3c2C)CC1,2,17,0,9,2,0,24,6,0,0,0,1,2,-1.5690599999999968,103.18450000000003,0.5196503567743082,3.16592140479281,147.76999999999998,-6.9,0
100,CC(N)C(=O)NNC(=O)CNC(=O)c1ccccc1Cl,*NCC *C(=O)NNC(=O)CNC(=O)c1ccccc1Cl,2,12,0,4,3,1,14,6,0,0,0,0,1,-0.43559999999999954,73.72000000000003,0.564548036996861,2.390834250926181,113.32,-6.6,0
98,CC(N)=CC(=O)NNC(=O)Cc1ccc2ccccc2c1,*NCC *=CC(=O)NNC(=O)Cc1ccc2ccccc2c1,2,16,0,3,2,0,14,8,0,0,0,0,2,1.3922000000000005,81.88180000000003,0.5876882447084819,2.2255468798845826,84.22,-7.7,0
82,O=C(c1cc(=O)[nH]c2ccccc12)N1CCC(C(=O)N2CCc3ccccc3C2)CC1,*C(=O)N1CCC(C(=O)N2CCc3ccccc3C2)CC1 *c1cc(=O)[nH]c2ccccc12,2,25,0,3,3,0,25,10,0,0,0,0,5,2.9652,118.75920000000002,0.6926908386730001,2.23728062667932,73.48,-8.9,0
83,NC(=O)Cn1nc(-n2cncn2)ccc1=O,*CC(N)=O *n1nc(-n2cncn2)ccc1=O,2,8,0,6,2,0,11,6,0,0,0,1,1,-1.6907,52.6084,0.703828932529,2.5637330907329474,108.69,-6.3,0
